"ID,Date,Element,Data_Value"
"USC00207308,2006-01-01,TMIN,-6"
"USC00200842,2005-02-12,TMIN,-67"
"USC00208972,2012-03-27,TMAX,83"
"USC00201502,2008-04-30,TMIN,-33"
"USC00208972,2015-04-09,TMAX,67"
"USC00200842,2012-01-06,TMIN,-39"
"USC00200032,2007-12-15,TMIN,-56"
"USC00205451,2006-01-09,TMIN,-22"
"USC00208202,2008-05-04,TMAX,211"
"USC00200220,2009-04-29,TMAX,139"
"USC00208972,2009-04-29,TMAX,161"
"USC00205822,2010-09-30,TMIN,94"
"USC00208202,2005-06-03,TMAX,267"
"USC00205050,2015-01-05,TMIN,-139"
"USC00205050,2013-08-27,TMIN,183"
"USC00200230,2015-04-01,TMAX,183"
"USC00208080,2014-05-22,TMIN,128"
"USW00094889,2008-04-30,TMIN,-49"
"USC00207308,2014-06-14,TMAX,206"
"USC00208080,2009-08-20,TMIN,156"
"USW00004848,2014-12-05,TMIN,6"
"USC00205563,2013-03-03,TMIN,-61"
"USC00208202,2005-06-03,TMIN,156"
"USC00205050,2014-02-25,TMIN,-128"
"USC00205563,2014-12-07,TMIN,-56"
"USW00014833,2013-03-09,TMIN,-33"
"USC00203712,2013-07-17,TMIN,217"
"USW00014853,2008-10-18,TMIN,17"
"USC00203712,2015-03-17,TMIN,11"
"USC00207308,2010-06-29,TMAX,311"
"USC00200842,2008-02-24,TMAX,11"
"USC00200842,2013-01-18,TMAX,39"
"USC00207320,2008-02-03,TMAX,22"
"USC00208202,2013-02-27,TMAX,6"
"USC00208972,2014-04-16,TMIN,-83"
"USC00200220,2013-03-28,TMIN,-33"
"USC00203712,2010-10-20,TMAX,150"
"USC00208972,2015-05-27,TMAX,278"
"USW00014853,2012-06-21,TMAX,367"
"USC00203712,2013-07-21,TMIN,156"
"USC00205050,2009-07-14,TMIN,94"
"USC00205451,2006-01-09,TMAX,56"
"USC00207308,2012-06-25,TMAX,311"
"USC00201250,2010-01-21,TMIN,-78"
"USC00205822,2006-03-29,TMAX,67"
"USW00004848,2009-01-30,TMAX,-27"
"USC00201250,2015-05-14,TMIN,22"
"USC00207308,2011-04-16,TMAX,128"
"USC00207312,2008-05-24,TMIN,56"
"USC00200220,2012-03-19,TMAX,233"
"USC00208202,2010-10-03,TMAX,111"
"USC00202308,2012-06-14,TMIN,100"
"USC00205451,2013-10-07,TMIN,72"
"USC00200032,2009-07-16,TMAX,278"
"USW00004848,2013-10-08,TMIN,50"
"USC00208202,2010-10-22,TMAX,122"
"USC00205451,2015-04-01,TMAX,72"
"USC00207320,2006-04-19,TMIN,33"
"USC00200032,2010-03-03,TMAX,33"
"USC00203712,2014-05-16,TMAX,100"
"USW00094889,2011-04-19,TMIN,6"
